cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
224.0,baiuca,baia,Baia,,,,,,,,,,,,,,,,,
225.0,VInha,Gertruudinhas,Minha,panelinha,travesscirinha,Vinha,TInha,madrinhal,galinha gorda,,,,,,,,,,,
226.0,Deois,Coisa,Pois,Dcpois,depoisl,Bois,,,,,,,,,,,,,,
227.0,Lausperee,Suspenda,Iegenda,,,,,,,,,,,,,,,,,
228.0,"rua da Miseri-
cordia",sos da Misericbrdia,"rua da
Miseric6rdia",rua da Miseri-,Miseric6rdia,rua da Miseric6rdia,"rua da Miseri-
c6rdia",rua da,rua da Misericordia,Miseric6r-,,,,,,,,,,
229.0,Havemos,Devem-no,chavena,Viveml,,,,,,,,,,,,,,,,
230.0,Setembro,Sol de Maio,Sol de Setembro,Hotel de Ville,Largas rcsteaz de Sol,"Sol
de Dezembro",,,,,,,,,,,,,,
231.0,Con-,Encolhia,Encon-,ripanco,lencol,,,,,,,,,,,,,,,
232.0,Ilogo,"S. Crisologo
S. Cipriano",ogo,"faga
fogo",Iogo,,,,,,,,,,,,,,,
233.0,baixo d,invcjando baixo,pinheiros baixos,Pinheiro,tectos baixos do curral,,,,,,,,,,,,,,,
234.0,la vait Tem sade,Cansadote,sade,,,,,,,,,,,,,,,,,
235.0,falandocom inuietacao,suiei,desinquietava,Quieta,,,,,,,,,,,,,,,,
236.0,Civilizacao,Civilizacao...,Civilicacdo,,,,,,,,,,,,,,,,,
237.0,Comendador de Cristo,o Cristo,Torre de Babel,Pobre de Cristol-,Pobre de Cristol- diizia Amaro.-,Cristol-,,,,,,,,,,,,,,
238.0,"Peni-
tencia",Silencio,Vlcetncia,decncia,Providencia,impenitencia,benevolencia,Gertrudes,Prudencia,Corespondencia,Agencia Havas,Vicencia,impudencia con-,leferencia,,,,,,
239.0,Deixa,Deixa-la,Deixa-las,,,,,,,,,,,,,,,,,
240.0,morera dum aneurisma,Morenal,Mor-,More-,"L'ABB
MoRET",,,,,,,,,,,,,,,
241.0,I.baninho3,"Libaninho de luvas pretas
cravo ao peito",Saiba,ninhol,Libaninho atris,Libaninho,"Libaninho mur-
murava",Joaninha,,,,,,,,,,,,
242.0,Parou,rouba,Daroguia,Darouia,Preparou-a,,,,,,,,,,,,,,,
243.0,acei,braceiava,gracejarl,Ceia,,,,,,,,,,,,,,,,
244.0,Abria,Riam,lamuria,riacho ue,gria,glria,,,,,,,,,,,,,,
245.0,Custou,cstou,custou1,,,,,,,,,,,,,,,,,
246.0,pondia,Indicava,Indigis,brandia,reprcendia,India,indiferenga,Ndio,preendia,,,,,,,,,,,
247.0,Inimigo,Digo,Iigoleto,Inimigol,,,,,,,,,,,,,,,,
248.0,Rua,Ruala,,,,,,,,,,,,,,,,,,
249.0,Comu-,Excomunhao,excomungadola,Comuni-,Uni-,,,,,,,,,,,,,,,
250.0,Garriffaldi,Maldito,Bendito,amaldicoava,Maldigaol,Ditosos,,,,,,,,,,,,,,
251.0,"Poli-
tica e da Historia",Historia,historla,,,,,,,,,,,,,,,,,
252.0,Sempre,Semprel-,semprel,Gempre,,,,,,,,,,,,,,,,
253.0,sobrc,sobrctudo,sObrCtudo,,,,,,,,,,,,,,,,,
254.0,Sabes,Sabla,Sabel,Sabe,,,,,,,,,,,,,,,,
255.0,Tejo,Vejo,Vejam,,,,,,,,,,,,,,,,,
256.0,Coitadinhal,coitaa,Ievita,Coitadita,Coitada,Coitaditas,,,,,,,,,,,,,,
257.0,iberall,Iiberal,Liberus,Percebera,,,,,,,,,,,,,,,,
258.0,Hoe est,Esteia,Est,Estcu,Estoeve,Estoico,,,,,,,,,,,,,,
259.0,"rg1IN,1III",III--0,"Iiii',2",Iii,xXIII,Eiiiiircicaieii,IIInpAIR  W,,,,,,,,,,,,,
260.0,limao,sorri,corrimao,mao,,,,,,,,,,,,,,,,
261.0,Aquilo,Raquitico,Aquie,xAqui,Dagqui,Aqul,,,,,,,,,,,,,,
262.0,pouc0,abusar1,Provarei,Repousarei,,,,,,,,,,,,,,,,
263.0,Chafariz,ariastlcn,Proletariado,padrariao,Sacrificaria,Cessaria,planeariam,Daria,Marialva,Mouraria,Faria,fard,Ifaria,,,,,,,
264.0,Nio,ue nio,Pavonio,,,,,,,,,,,,,,,,,
265.0,Ciu,merciuio,Ciumes,ciume.-,,,,,,,,,,,,,,,,
266.0,amanha,manhai,manhi,Amanha,manhal,Espanha,camphanha,,,,,,,,,,,,,
267.0,"Io
sio
oIIE",varoes,visoes,sioes,grilhoes,Camoes,,,,,,,,,,,,,,
268.0,"Totol
- Li",a Toto6-e,Totol,Toto,otozila,,,,,,,,,,,,,,,
269.0,Anaro,Aina,nar,Ainaro,,,,,,,,,,,,,,,,
270.0,Tirha,tira-mo:-,tiranico,Tira-mo,Tirado,,,,,,,,,,,,,,,
271.0,"tipo6-
grafo","sotainas ne-
grasla",sotainas,,,,,,,,,,,,,,,,,
272.0,"s6
sensagao",Ensina,Insensivel,,,,,,,,,,,,,,,,,
273.0,"caliinia das
calinias",calinia das calinias,,,,,,,,,,,,,,,,,,
274.0,PolLeLinterno,Inter-,intengiio,"RU
Intengao",,,,,,,,,,,,,,,,
275.0,entisicando,Fisica,"muisica clas-
sica",Potis,"cg
isi",tisica,,,,,,,,,,,,,,
276.0,Corpus-Christi,tristezal,firmezal,,,,,,,,,,,,,,,,,
277.0,legalmentc,Colegas,colegal,colera,,,,,,,,,,,,,,,,
278.0,Senhora da Incarnacao,Encarnacao,Senhora da IEncarnacao,Senhora da Alegria,,,,,,,,,,,,,,,,
279.0,Ameliazita,ceiazinha,Ameliazinhal,Melinhal,Ameliazinha la,Ameliazinha-,pe da Ameliazinha,Ameliazinha,,,,,,,,,,,,
280.0,exageracOes,difamacoes,exageracoes,,,,,,,,,,,,,,,,,
281.0,estrepito,jardim da Estrela,Estrela,Estremoz,,,,,,,,,,,,,,,,
282.0,cabo da faca,cabo dum,cabo do Ultramontanismol,,,,,,,,,,,,,,,,,
283.0,bom Ferraio,Ferrao-,Ferrao,Ferraio,"bom
Ferraio",,,,,,,,,,,,,,,
284.0,maos,romaos oue,Oue,Roma,,,,,,,,,,,,,,,,
285.0,lepras,Juras,embura,tonturas,Juro,,,,,,,,,,,,,,,
286.0,Jerusalem,Lem-,elel,plebelJesus,Belem,,,,,,,,,,,,,,,
287.0,Gouveia,Leia,Leia S. Tomas,Leia Gavantus,Judeia,Baleia,,,,,,,,,,,,,,
288.0,burrol,erdia,balburdia,Furdo,,,,,,,,,,,,,,,,
289.0,Algarve,Eclogas,Nlgas,Juilgava,ago gasto,,,,,,,,,,,,,,,
290.0,Pombal,Abalou,Heliogabalo,,,,,,,,,,,,,,,,,
291.0,souhe,T9Sou,,,,,,,,,,,,,,,,,,
292.0,dir-lim,"des-
pDir-se",,,,,,,,,,,,,,,,,,
293.0,cabo dos guarda-chuvas,"ponta dc
guarda-chuva",Chut,guardal,,,,,,,,,,,,,,,,
294.0,Pataratas do Saldanha,Saldanha.-,Saldanhinha,,,,,,,,,,,,,,,,,
295.0,Papnl,"mao
papuda",mao papuda,,,,,,,,,,,,,,,,,
296.0,pirozinho,parocozinho,Joaol,Sozinha,Drocozinho,Gansozinhos,vidraca da cozinha,Joaozinho,,,,,,,,,,,,
297.0,tonas,Imnonotonas,,,,,,,,,,,,,,,,,,
298.0,pstl Eh lal,pstl pstl,Pst,,,,,,,,,,,,,,,,,
299.0,UCTIITEU,Tito-Liio,IIt,pcito,Iito,,,,,,,,,,,,,,,
300.0,Alameda Velha,alameda,Alameda,,,,,,,,,,,,,,,,,
301.0,Taa YlonJa ise,Agonia,Polonia,Santa Apolonia,Depols,,,,,,,,,,,,,,,
302.0,dim,Pago,jardim do Pago,Jardim de Lazaro,,,,,,,,,,,,,,,,
303.0,Atraves,Atraiu-a,patraio,,,,,,,,,,,,,,,,,
304.0,Dois,Dois M-,Dois Mundos,,,,,,,,,,,,,,,,,
305.0,deio,Deixe,Deixem,,,,,,,,,,,,,,,,,
306.0,"R0
ra papcl",Una paloma,Salomao,,,,,,,,,,,,,,,,,
307.0,Gamacho,azfama,mamd,maie,mamai,mais?-,,,,,,,,,,,,,,
308.0,Bairrada,Irral,Bairro de David,,,,,,,,,,,,,,,,,
309.0,FAnDRE A I,"CRIME DO
PADRE AARO
I","CRIME DO
PADRE AMARO",padre Amaro,,,,,,,,,,,,,,,,
310.0,Imagine,Imaginava,Imaginei,Imaginem,Imaginara,Imaginas,imaginav,imaginagcao,imaginaco da rapariga,,,,,,,,,,,
311.0,snr.- Goncalves,Goncalves,,,,,,,,,,,,,,,,,,
312.0,revelagcoes,ambicoes,consolagcoes,plantagcoes,tentagcoes,,,,,,,,,,,,,,,
313.0,jai ca,dize ca,acre ca,dlze ca,,,,,,,,,,,,,,,,
314.0,Ahl,"RU0
Jahlota",Janota,,,,,,,,,,,,,,,,,
315.0,Assungao,Nagaioi,Assungaio,Assungcao,,,,,,,,,,,,,,,,
316.0,Agarrara,Achara,arara,barao,Dobrara,Expirara,,,,,,,,,,,,,,
317.0,Nada,almogeo,caleada,almofada,ma alma,,,,,,,,,,,,,,,
318.0,Conversara,Oonveneao,Convencao,convulsoes,,,,,,,,,,,,,,,,
319.0,controvrsia,contaeto,Alchntara,contarl,Conto,Contar,Montara,,,,,,,,,,,,,
320.0,Legiao de Honra destruido.l,regiao,Egipto,Legiao,.'GIAE,,,,,,,,,,,,,,,
321.0,"Santa Joana
de Aveiro",Santa Cecilia,"Ivenco
da Santa Cru",Cc Santa Barbara,Santarm,santa cruz,"Santa-
rem",Santa Ana,Santa Catarina,Santa,,,,,,,,,,
322.0,Pego,Velo-lhe,Devo-lhe,Pego-lhe,,,,,,,,,,,,,,,,
323.0,Estado,Vista-,Estai,Estamos,Esta-me,Boa besta,Estave,Estar,estado,,,,,,,,,,,
324.0,Inglaterra,aterrado,pe do terragco,terra,serra,Terra-Nova,Terra,terragco,,,,,,,,,,,,
325.0,dlas,Dlas,,,,,,,,,,,,,,,,,,
326.0,Olhava,Bastilha,Covilha,Milhares,Havanesa,Ilhava,Ajoelhava,chocalhava,"L-
xVI",,,,,,,,,,,
327.0,Inulsigao,Viga-,rsIg,DHE,Siga,Diga,,,,,,,,,,,,,,
328.0,saleta,cavalete1,Jalete,ete.,,,,,,,,,,,,,,,,
329.0,Perdoe-me,Perdao,Sacerd6clo,Perdoa,esuerda,,,,,,,,,,,,,,,
330.0,Acabe,cabeca baixa,cabeca caida,cabega,cabeca,"Cabeca do
gs",,,,,,,,,,,,,,
331.0,Brincadeiras,"madre
rodeira",Madeiral,Madeira,,,,,,,,,,,,,,,,
332.0,Longuinhos,riquinhol,uinze,Carlinhos,Inglesinhos,banuinho,Dbrinho,,,,,,,,,,,,,
333.0,botica,Litgo,ItI.,Joli,Politica,,,,,,,,,,,,,,,
334.0,Rosa,cigarros.-,barrol,Barroca,Barrosa,"estrada da
Barrosa",Barrosa-,Iivros,Barrosa falar a Carlota...,,,,,,,,,,,
335.0,Levantaremos,levantou:-,aiuntou,levantou:- Entre,,,,,,,,,,,,,,,,
336.0,com-,Pega,Comega,Drometo,Comegou,,,,,,,,,,,,,,,
337.0,Esguclhas,Esguelhas,Esgue-,,,,,,,,,,,,,,,,,
338.0,bom portugues,beugala,"Portu-
gal",Porto,Portugal,em Portugal,,,,,,,,,,,,,,
339.0,Novaisitos,novol,Novais,soirees do Novais,casa do Novais,bom Novais,yvai.-,novaa,,,,,,,,,,,,
340.0,caricias,farmaicia,maic,,,,,,,,,,,,,,,,,
341.0,Arvore,"Arvore da Cien-
cia","Vicen-
cia",,,,,,,,,,,,,,,,,
342.0,veiro do Ccu,Eanca do Ceu,Deus do Ceu,iundo dos ceus,reino do Ceu,moeo do Cruz,,,,,,,,,,,,,,
343.0,Casamento,Carmens,Sacramento,Sargento,Sarmento,,,,,,,,,,,,,,,
344.0,Queira,Vaqueira,queiaa,"dc
paquete",,,,,,,,,,,,,,,,
345.0,s6 a,piicaro da agua,cova da enxerga,s6 da a,Ioia da jinel,,,,,,,,,,,,,,,
346.0,Saio,naio,Naio,,,,,,,,,,,,,,,,,
347.0,Iia,lavia,Iam,zas,IIaviam,Haviam,,,,,,,,,,,,,,
348.0,Tosnoul,tos,,,,,,,,,,,,,,,,,,
349.0,Amellal,Amellazinhal Perdoa,Amella,,,,,,,,,,,,,,,,,
350.0,Inas,Satanas,ruinas,Inas-,Albina,nas-,,,,,,,,,,,,,,
351.0,Dcsordens,Iaboriosa,Taborda,Laboranti,,,,,,,,,,,,,,,,
352.0,Eugenia,Vagen,genebra,Obra,,,,,,,,,,,,,,,,
353.0,Multo bonito,Bonito,Bonita,,,,,,,,,,,,,,,,,
354.0,causeuse,Eliseus,Causava,,,,,,,,,,,,,,,,,
355.0,hierarguia,Iarguesa,Iarguesa de Alegros,,,,,,,,,,,,,,,,,
356.0,Se Ihe,Impunham-Ihe,Ihes,Ihe,lIhe,D-ihe,,,,,,,,,,,,,,
357.0,baboso,Baboseiras,,,,,,,,,,,,,,,,,,
358.0,provotu,Voee,trovoes,,,,,,,,,,,,,,,,,
359.0,Ceu nao findava.- sOnde,Trindade,Aindai,Daif,,,,,,,,,,,,,,,,
360.0,Valadares,pe Vai-te,tre Valadares,,,,,,,,,,,,,,,,,
361.0,Quero,Teresas,Quereis,Quere-me,Queres,,,,,,,,,,,,,,,
362.0,permanceceu taio,Entaio,Estaio,"Bento
saceristaio",taio fortes,bom paio,taio,taio decentel,,,,,,,,,,,,
363.0,Damasco,Alcobaca -S. Pascoal Bailao,Pascoal Bailao,Milao,Pascoa,,,,,,,,,,,,,,,
364.0,Carcavelos,Sufocada,Arcada,anasarca,,,,,,,,,,,,,,,,
365.0,Poco das Bentas,Entaol,entao s6,entao,Cntao,Entao,Entao hoie,"entao daguela casa
tao barata",,,,,,,,,,,,
366.0,Pompa Espiritual,Espirito,Brito,,,,,,,,,,,,,,,,,
367.0,Quorum,suor,,,,,,,,,,,,,,,,,,
368.0,Iar,Aiaro,AIARO,,,,,,,,,,,,,,,,,
369.0,Brevlario,Breviariol,Breviirio,Breviario,,,,,,,,,,,,,,,,
370.0,"Portol
Natario",Natario-,Natario.- Leia,snr.e D. Catarina,"arocol
Natario","Eu11
Natario",Natario,Natarla,Natariol,,,,,,,,,,,
371.0,aeguda,legua,egua,,,,,,,,,,,,,,,,,
372.0,Porta de Ouro,caia de bruos,egua baia de Joaio,ria de pe,graca de Deus,,,,,,,,,,,,,,,
373.0,Nao,snaomn,comn,,,,,,,,,,,,,,,,,
374.0,"Eterna
Dor",Ternel,"taberna do
tio Serafim",banco da taberna,consternaeao,tabherna,erna,taberna do Gego,,,,,,,,,,,,
375.0,algodeo,Todaos,contrigao de amor,lengol,RIY  DE A 1 R,Roda,lengo de algodao,reputacao duma scela de alquimista,,,,,,,,,,,,
376.0,"casa da
snr",snr,Snr,,,,,,,,,,,,,,,,,
377.0,Natureza,Mise-,"Mise-
eatur",,,,,,,,,,,,,,,,,
378.0,senhor conego,conego Dias,"conego rindo-se-
ji ha",conegos,"conego
Sanchcs",lanegor,irma do conego,"conego
Dias",Chnegou,"pe do
conego",conego.-,conego Campos,conego,conego sulbia,,,,,,
379.0,Chalacal,bacalhau2,baca,Alcobaca,Alcobacal,,,,,,,,,,,,,,,
380.0,Amclia,Aclia,Amdlia,vigilia,Amlia,Juliana,Liado,Jlia,,,,,,,,,,,,
381.0,Voc,eroce,Voce,Voces,diocese...,,,,,,,,,,,,,,,
382.0,Auele,aue,Aquela,Auela,,,,,,,,,,,,,,,,
383.0,Ave-Marias,Ave-Marias...,,,,,,,,,,,,,,,,,,
384.0,Poials,Ioia,Apoiado,Poiais,OIa,Tlpoias,,,,,,,,,,,,,,
385.0,Razaol,Razao,razao,,,,,,,,,,,,,,,,,
386.0,boa Dionisia,Dlonisia,Dionisial,Dionisia,nisia,,,,,,,,,,,,,,,
387.0,Case-me,casehre,Case,,,,,,,,,,,,,,,,,
388.0,Iojas,Coroa,corujas,,,,,,,,,,,,,,,,,
389.0,Alto la,Bairro Alto,chaivenas de alto,Saltou,Maltes,punha de alto,Alto,alto Ceu,So6,,,,,,,,,,,
390.0,alecrim,Expe-,cRIME oO,Crimel,Ourim,IME,PrimO,"RO
DoIme",RIME,,,,,,,,,,,
391.0,Elefantel,Iante,Nantes,tes:-,,,,,,,,,,,,,,,,
392.0,Aperte,peru,perteneer,,,,,,,,,,,,,,,,,
393.0,necessarlo,necessairio,necessita,Citava,Necessitava,,,,,,,,,,,,,,,
394.0,melha,Avelhadol,velha,vcrmelha,vcr,,,,,,,,,,,,,,,
395.0,Pieguicesl Ate,Pieguices,,,,,,,,,,,,,,,,,,
396.0,OORI1tE DO PDR,cRIE DOPDRE,OIIE DO HDIE,Cais do Sodre,Sol do Poente,GIE DO,YIE DO AD HRE,MIE DO P,aguas do marl,,,,,,,,,,,
397.0,Medicina,Meditacao,Imitaco,Meditacdo,,,,,,,,,,,,,,,,
398.0,ParIis,S. Gorislano,Paris,,,,,,,,,,,,,,,,,
399.0,tinuou sotuna,Una,Ossuna,,,,,,,,,,,,,,,,,
400.0,Morais,Oral,Moral,,,,,,,,,,,,,,,,,
401.0,Carocho,Aharo,Caro,carol,,,,,,,,,,,,,,,,
402.0,Tio Cegonhaf,Cegonha,Desavergonhada,,,,,,,,,,,,,,,,,
403.0,boa acgcaio,boa dicta,Boas-noites,Boa,"boa
fe",,,,,,,,,,,,,,,
404.0,moeo,Decerto,certol,decertol,Decertol-,,,,,,,,,,,,,,,
405.0,Hao-de,Ha-de,Id-de,IIo-de,,,,,,,,,,,,,,,,
406.0,Jeiuar,jeium,,,,,,,,,,,,,,,,,,
407.0,lajes,lajeado do largo,lajeado,,,,,,,,,,,,,,,,,
408.0,segurarl,Iigura,,,,,,,,,,,,,,,,,,
409.0,Ierocidade,Brutalidades,autoridadel,Ierocidade de impio,Cuidado,placide,ossa felicidade,cidade1,adormecida,,,,,,,,,,,
410.0,truzl,Cruzes,Cruz,,,,,,,,,,,,,,,,,
411.0,Introibo,Itroito,Dezoito,,,,,,,,,,,,,,,,,
412.0,incndio das Tulherias,Mulher,Tulherias,"luval Tem
pilheria",,,,,,,,,,,,,,,,
413.0,IL D0  ADE,D0 PA,UCRI3E D0 AEIE,,,,,,,,,,,,,,,,,
414.0,Se de,PlEASE DO,cnsa du,CRIYE DU P,UI1SE DU,,,,,,,,,,,,,,,
415.0,"sinei-
ros",Circeo,Dulcineia,sineirc,,,,,,,,,,,,,,,,
416.0,Adian-,FhRADIuU,Vadios,invadia,,,,,,,,,,,,,,,,
417.0,Lciria,Cozinleiros,Onde Leiria,"Leiria
Passearam","aCavour de
Leiria",Leiria,Feirio,,,,,,,,,,,,,
418.0,Fazem-me,Faz,Faz-me,,,,,,,,,,,,,,,,,
419.0,CRIII,QRIIE,cRIIE,OCRIIIT(I,,,,,,,,,,,,,,,,
420.0,Cheguem-se,Chegara,Cheguci,,,,,,,,,,,,,,,,,
421.0,Chocalhe,"Ricocal
E",Ricocal,,,,,,,,,,,,,,,,,
422.0,Tragou,Trago,tra,saragoca,,,,,,,,,,,,,,,,
423.0,temi,Temo-la,Tem,,,,,,,,,,,,,,,,,
424.0,partol,tcdo partido,partgel,,,,,,,,,,,,,,,,,
425.0,Quereria,Queria-a,Queria,,,,,,,,,,,,,,,,,
426.0,Rapariga,ranarigal,Amor,Amor;Laparigas de dezasseis,Amor;Laparigas,,,,,,,,,,,,,,,
427.0,Rebuscou,Rossio,Iicou,Tossicou,,,,,,,,,,,,,,,,
428.0,nineuem cumgeE.,Ninguem,uem,uem diabo,,,,,,,,,,,,,,,,
429.0,Vezes,Arran-,Marrazes,,,,,,,,,,,,,,,,,
430.0,Riram,Feirao,"pri-
meira",Gralheira,Feiraol,Pereira,Cralheira,freira,Pimentas da Pojeira,Beiio,Beira,trapeira,Feiraio,,,,,,,
431.0,Morgaditos,Cansadinho,"Mor-
gadinho",Morgadinho,Morgados,Morgado,Morgadinhos,,,,,,,,,,,,,
432.0,"Guedes
gue",Pede-os,Des,hdspedes,,,,,,,,,,,,,,,,
433.0,Ponte Nova,monte Olimpol,Contemplal,Charonte,fontel,Ponte,Defronte,,,,,,,,,,,,,
434.0,viha,U A1 I1,II-- LT1MAg PIIHAI-- I I1NA D ALDMIO,,,,,,,,,,,,,,,,,
435.0,Ricas,Rica,suicas,,,,,,,,,,,,,,,,,
436.0,Carvalhosa,orva,carvoes,carvao,,,,,,,,,,,,,,,,
437.0,saia branca,Franga,pilar branco,balancar,Franea,Vila Franca,S. Francisco,frances,Franca,,,,,,,,,,,
438.0,Cordeiro Pascal,Vim,"scu
cnteiro",Vimeiro,,,,,,,,,,,,,,,,
439.0,peco.-,Recados,Pecado,,,,,,,,,,,,,,,,,
440.0,Sol,solugos,solucar,solu-1,,,,,,,,,,,,,,,,
441.0,abracos,consideraco5es,Iraco,braco,,,,,,,,,,,,,,,,
442.0,"apa-
nhando",vizinhanga,Sacke-hands,chapinhando,,,,,,,,,,,,,,,,
443.0,Versalhes,"bigodc gri-
salho",Agasalha-te,casaLLIL.lSD,Coalho,Agasalho,,,,,,,,,,,,,,
444.0,Nossa,Vossemece,Vossa,,,,,,,,,,,,,,,,,
445.0,Comunicados,Coniunicadof,Comunicadol,Comunicado,,,,,,,,,,,,,,,,
446.0,Betanla,balle,Palletan,,,,,,,,,,,,,,,,,
447.0,Carlos-,"pe de
Carlota",Senhora Carlotal,Carli,S. Carlos,Carlota,,,,,,,,,,,,,,
448.0,Rio,Osorio,Os6rio,periodicol,Tlberio,Natrio,serio,rio,,,,,,,,,,,,
449.0,caixa do rape,pe do estanco,"pe do
cemiterio",pe do homem,pe do guartel,pe do valado,pe do rio,,,,,,,,,,,,,
450.0,Abades,Madrid,Madre-Abadessa,,,,,,,,,,,,,,,,,
451.0,Joao das hiscas de cgarr,Lully,palmas de martires,FRAD1UE MEMH,saide fogc,luvas de casimira,NLLYehas anedotas de frades,,,,,,,,,,,,,
452.0,Costumava,palrava,Costurava,,,,,,,,,,,,,,,,,
453.0,Gosta,Instava,Gostas,Gustavo,Voltava,Repastava,Gostava,,,,,,,,,,,,,
454.0,Porque,PorqvUe,,,,,,,,,,,,,,,,,,
455.0,Salte,Salta ca,Talta,Falta,"S.
-- Falta",Salta,,,,,,,,,,,,,,
456.0,Arrepen-,mexe-te,"Arrepen-
de-te",,,,,,,,,,,,,,,,,
457.0,"LA
FIDTE",Ovidio-,perfidia,,,,,,,,,,,,,,,,,
458.0,Calvirio,ralva,Calvario,,,,,,,,,,,,,,,,,
459.0,Fel,felizx,,,,,,,,,,,,,,,,,,
460.0,Ftiopia,copia,,,,,,,,,,,,,,,,,,
461.0,funestol,Honestol,desgostol,istol,Brstol,,,,,,,,,,,,,,,
